path
The path
row  col
 1    1
 2    2
 2    3
 2    4
 2    5
 2    6
 2    7
 3    6
 4    6
 5    6
 6    7
 6    8
 7    8
 8    9
 8   10
 9   10
10   10
11   10
12   11
11   12
10   12
10   13
10   14
10   15
10   16
10   17
10   18
10   19
10   20
11   20
12   20
13   20
14   21
13   22
12   22
12   23
12   24
12   25
11   26
10   26
 9   26
 8   26
 8   27
 8   28
 8   29
 8   30
 9   30
10   30
11   30
10   29
11   28
12   28
13   28
14   28
14   27
15   26
16   27
16   28
17   28
18   29
18   30
18   31
17   32
16   32
16   31
16   30
15   30
14   30
14   31
13   32
12   32
12   33
11   34
10   34
10   35
10   36
10   37
10   38
11   38
12   38
12   37
13   36
14   37
14   38
14   39
14   40
15   40
16   40
17   40
18   40
19   40
20   40
21   40
20   39
21   38
22   38
22   37
22   36
21   36
20   36
20   35
20   34
20   33
20   32
20   31
21   30
22   30
23   30
24   30
25   30
26   31
25   32
24   32
24   33
24   34
24   35
24   36
24   37
24   38
24   39
24   40
25   40
26   40
27   40
28   40
29   40
30   40
31   40
32   40
33   40
34   40
34   39
35   38
36   38
36   37
36   36
35   36
34   36
33   36
32   36
31   36
32   35
33   34
34   34
35   34
36   34
37   34
38   35
38   36
39   36
40   37
39   38
38   38
38   39
37   40
38   40
39   40
40   40
41   41
■1111111111111111111111111111111111111111
1■■■■■■0100000000000000010000000000000001
10111■10111011111011111011111110111111101
10101■10001010000010001000000010000000101
10101■11101110111111101111111011111110101
101010■■100000100000001000000000001000101
1010111■111111101111111011111111101011101
10100010■■100000000000001■■■■■10000010001
101010111■111111111110111■111■10111111101
100010001■1■■■■■■■■■10001■10■■101■■■■■101
111111101■1■1111101■11111■1■1■111■111■101
1000100010■01000101■1■■■■01■101■■010■■101
1010111111111010111■1■11111■111■111■11111
10100000000000100010■00010■■1■■01010■■■■1
1011101111111111101111101■111■111011111■1
10100010000010000000001010■■1■■■1000001■1
101110101110111111111011111■111■1011101■1
1000101010100010000010000010■■■00010001■1
101011101011101011101111101111111111111■1
101000101000100000101000100010■■■■■■10■■1
10111010111011111110101111101■11111■1■1■1
10100010000010001000100010001■10000■■■101
11101011111010101011101010111■11111111111
10001000100010101000101000001■1■■■■■■■■■1
10111111101110101110111111101■1■1111111■1
100000000010001000100000101010■01000100■1
101111111111111010111110101011101010101■1
101000000000001010100000101000101010001■1
101110111111101110101111101110111011111■1
100000101000001000101000100010100010001■1
11111110101111101110101010101010111■101■1
1000100010000000100010101010100010■■101■1
101010101111111010111010101111111■1■111■1
101000101000100010000010100000001■1■10■■1
101111101010101111111110111011111■1■1■111
100000100010100000100000101000000■1■■■101
101110101111111011101111101111111■11111■1
1000101010000010100010001000000010■■1■■■1
11101011101110101011101011111110111■1■1■1
100010000000100010000010000000001000■01■1
1111111111111111111111111111111111111111■
